"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q4,,"301,000 ",,"280,000 ",,"283,000 ",,"213,000 ",,"346,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"291,000 ",,"273,000 ",,"275,000 ",,"207,000 ",,"339,000 ",,,,,,,,,,,,,,,
,,Q2,,"305,000 ",,"274,000 ",,"279,000 ",,"212,000 ",,"343,000 ",,,,,,,,,,,,,,,
,,Q3,,"303,000 ",,"286,000 ",,"288,000 ",,"215,000 ",,"354,000 ",,,,,,,,,,,,,,,
,,Q4,,"306,000 ",,"274,000 ",,"279,000 ",,"211,000 ",,"341,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"304,000 ",,"278,000 ",,"281,000 ",,"213,000 ",,"349,000 ",,,,,,,,,,,,,,,
,,Q2,,"309,000 ",,"273,000 ",,"279,000 ",,"217,000 ",,"342,000 ",,,,,,,,,,,,,,,
,,Q3,,"311,000 ",,"286,000 ",,"290,000 ",,"221,000 ",,"355,000 ",,,,,,,,,,,,,,,
,,Q4,,"303,000 ",,"276,000 ",,"281,000 ",,"217,000 ",,"343,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"302,000 ",,"271,000 ",,"276,000 ",,"214,000 ",,"340,000 ",,,,,,,,,,,,,,,
,,Q2,,"304,000 ",,"270,000 ",,"276,000 ",,"216,000 ",,"339,000 ",,,,,,,,,,,,,,,
,,Q3,,"309,000 ",,"285,000 ",,"288,000 ",,"219,000 ",,"357,000 ",,,,,,,,,,,,,,,
,,Q4,,"309,000 ",,"284,000 ",,"289,000 ",,"221,000 ",,"354,000 ",,,,,,,,,,,,,,,
