"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"76,000 ",,"54,000 ",,"57,000 ",,"44,000 ",,"68,000 ",,,,,,,,,,,,,,,
,,Q3,,"73,000 ",,"57,000 ",,"58,000 ",,"43,000 ",,"73,000 ",,,,,,,,,,,,,,,
,,Q4,,"76,000 ",,"51,000 ",,"55,000 ",,"42,000 ",,"72,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"75,000 ",,"52,000 ",,"55,000 ",,"43,000 ",,"71,000 ",,,,,,,,,,,,,,,
,,Q2,,"69,000 ",,"54,000 ",,"56,000 ",,"44,000 ",,"72,000 ",,,,,,,,,,,,,,,
,,Q3,,"73,000 ",,"54,000 ",,"57,000 ",,"42,000 ",,"74,000 ",,,,,,,,,,,,,,,
,,Q4,,"74,000 ",,"53,000 ",,"55,000 ",,"43,000 ",,"71,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"71,000 ",,"55,000 ",,"57,000 ",,"43,000 ",,"74,000 ",,,,,,,,,,,,,,,
,,Q2,,"71,000 ",,"53,000 ",,"55,000 ",,"43,000 ",,"72,000 ",,,,,,,,,,,,,,,
,,Q3,,"70,000 ",,"56,000 ",,"59,000 ",,"43,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q4,,"78,000 ",,"54,000 ",,"58,000 ",,"41,000 ",,"80,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"72,000 ",,"49,000 ",,"53,000 ",,"41,000 ",,"74,000 ",,,,,,,,,,,,,,,
,,Q2,,"75,000 ",,"55,000 ",,"58,000 ",,"43,000 ",,"79,000 ",,,,,,,,,,,,,,,
,,Q3,,"71,000 ",,"54,000 ",,"56,000 ",,"40,000 ",,"78,000 ",,,,,,,,,,,,,,,
,,Q4,,"78,000 ",,"53,000 ",,"57,000 ",,"41,000 ",,"77,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"71,000 ",,"51,000 ",,"53,000 ",,"40,000 ",,"72,000 ",,,,,,,,,,,,,,,
,,Q2,,"67,000 ",,"53,000 ",,"55,000 ",,"41,000 ",,"74,000 ",,,,,,,,,,,,,,,
,,Q3,,"76,000 ",,"59,000 ",,"61,000 ",,"43,000 ",,"81,000 ",,,,,,,,,,,,,,,
,,Q4,,"75,000 ",,"58,000 ",,"60,000 ",,"43,000 ",,"77,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"84,000 ",,"60,000 ",,"62,000 ",,"42,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q2,,"87,000 ",,"59,000 ",,"62,000 ",,"44,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q3,,"83,000 ",,"61,000 ",,"64,000 ",,"45,000 ",,"82,000 ",,,,,,,,,,,,,,,
,,Q4,,"82,000 ",,"60,000 ",,"63,000 ",,"47,000 ",,"82,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"84,000 ",,"62,000 ",,"65,000 ",,"45,000 ",,"86,000 ",,,,,,,,,,,,,,,
,,Q2,,"82,000 ",,"60,000 ",,"63,000 ",,"49,000 ",,"81,000 ",,,,,,,,,,,,,,,
,,Q3,,"82,000 ",,"67,000 ",,"69,000 ",,"51,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q4,,"89,000 ",,"63,000 ",,"66,000 ",,"53,000 ",,"81,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"89,000 ",,"64,000 ",,"67,000 ",,"53,000 ",,"84,000 ",,,,,,,,,,,,,,,
,,Q2,,"87,000 ",,"66,000 ",,"68,000 ",,"53,000 ",,"84,000 ",,,,,,,,,,,,,,,
,,Q3,,"95,000 ",,"73,000 ",,"76,000 ",,"56,000 ",,"97,000 ",,,,,,,,,,,,,,,
,,Q4,,"97,000 ",,"73,000 ",,"75,000 ",,"57,000 ",,"93,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"104,000 ",,"70,000 ",,"74,000 ",,"55,000 ",,"91,000 ",,,,,,,,,,,,,,,
,,Q2,,"110,000 ",,"79,000 ",,"83,000 ",,"64,000 ",,"99,000 ",,,,,,,,,,,,,,,
,,Q3,,"100,000 ",,"74,000 ",,"77,000 ",,"60,000 ",,"92,000 ",,,,,,,,,,,,,,,
,,Q4,,"96,000 ",,"74,000 ",,"76,000 ",,"59,000 ",,"91,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"102,000 ",,"75,000 ",,"77,000 ",,"61,000 ",,"94,000 ",,,,,,,,,,,,,,,
,,Q2,,"114,000 ",,"75,000 ",,"79,000 ",,"60,000 ",,"94,000 ",,,,,,,,,,,,,,,
,,Q3,,"104,000 ",,"90,000 ",,"91,000 ",,"67,000 ",,"112,000 ",,,,,,,,,,,,,,,
,,Q4,,"117,000 ",,"77,000 ",,"80,000 ",,"61,000 ",,"94,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"102,000 ",,"80,000 ",,"82,000 ",,"61,000 ",,"93,000 ",,,,,,,,,,,,,,,
,,Q2,,"142,000 ",,"87,000 ",,"93,000 ",,"73,000 ",,"106,000 ",,,,,,,,,,,,,,,
,,Q3,,"131,000 ",,"91,000 ",,"93,000 ",,"78,000 ",,"104,000 ",,,,,,,,,,,,,,,
,,Q4,,"135,000 ",,"95,000 ",,"98,000 ",,"78,000 ",,"110,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"134,000 ",,"97,000 ",,"99,000 ",,"76,000 ",,"106,000 ",,,,,,,,,,,,,,,
,,Q2,,"155,000 ",,"103,000 ",,"108,000 ",,"78,000 ",,"118,000 ",,,,,,,,,,,,,,,
,,Q3,,"165,000 ",,"120,000 ",,"122,000 ",,"75,000 ",,"135,000 ",,,,,,,,,,,,,,,
,,Q4,,"169,000 ",,"124,000 ",,"125,000 ",,"81,000 ",,"138,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"174,000 ",,"123,000 ",,"125,000 ",,"79,000 ",,"139,000 ",,,,,,,,,,,,,,,
,,Q2,,"174,000 ",,"136,000 ",,"138,000 ",,"92,000 ",,"151,000 ",,,,,,,,,,,,,,,
,,Q3,,"192,000 ",,"145,000 ",,"148,000 ",,"96,000 ",,"161,000 ",,,,,,,,,,,,,,,
,,Q4,,"176,000 ",,"143,000 ",,"146,000 ",,"96,000 ",,"159,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"196,000 ",,"143,000 ",,"147,000 ",,"100,000 ",,"162,000 ",,,,,,,,,,,,,,,
,,Q2,,"184,000 ",,"147,000 ",,"150,000 ",,"107,000 ",,"163,000 ",,,,,,,,,,,,,,,
,,Q3,,"188,000 ",,"151,000 ",,"154,000 ",,"109,000 ",,"172,000 ",,,,,,,,,,,,,,,
,,Q4,,"196,000 ",,"145,000 ",,"147,000 ",,"103,000 ",,"182,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"192,000 ",,"145,000 ",,"146,000 ",,"103,000 ",,"182,000 ",,,,,,,,,,,,,,,
,,Q2,,"199,000 ",,"153,000 ",,"155,000 ",,"109,000 ",,"187,000 ",,,,,,,,,,,,,,,
,,Q3,,"198,000 ",,"163,000 ",,"164,000 ",,"114,000 ",,"198,000 ",,,,,,,,,,,,,,,
,,Q4,,"195,000 ",,"163,000 ",,"165,000 ",,"116,000 ",,"196,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"194,000 ",,"164,000 ",,"165,000 ",,"117,000 ",,"199,000 ",,,,,,,,,,,,,,,
,,Q2,,"208,000 ",,"168,000 ",,"170,000 ",,"122,000 ",,"201,000 ",,,,,,,,,,,,,,,
,,Q3,,"190,000 ",,"173,000 ",,"173,000 ",,"122,000 ",,"205,000 ",,,,,,,,,,,,,,,
,,Q4,,"207,000 ",,"169,000 ",,"171,000 ",,"122,000 ",,"204,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"200,000 ",,"172,000 ",,"174,000 ",,"121,000 ",,"208,000 ",,,,,,,,,,,,,,,
,,Q2,,"211,000 ",,"172,000 ",,"175,000 ",,"124,000 ",,"204,000 ",,,,,,,,,,,,,,,
,,Q3,,"202,000 ",,"176,000 ",,"177,000 ",,"125,000 ",,"207,000 ",,,,,,,,,,,,,,,
,,Q4,,"182,000 ",,"173,000 ",,"174,000 ",,"122,000 ",,"204,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"158,000 ",,"166,000 ",,"166,000 ",,"117,000 ",,"198,000 ",,,,,,,,,,,,,,,
,,Q2,,"171,000 ",,"167,000 ",,"167,000 ",,"117,000 ",,"197,000 ",,,,,,,,,,,,,,,
,,Q3,,"187,000 ",,"180,000 ",,"181,000 ",,"125,000 ",,"211,000 ",,,,,,,,,,,,,,,
,,Q4,,"186,000 ",,"183,000 ",,"183,000 ",,"130,000 ",,"211,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"181,000 ",,"185,000 ",,"185,000 ",,"122,000 ",,"216,000 ",,,,,,,,,,,,,,,
,,Q2,,"189,000 ",,"185,000 ",,"185,000 ",,"129,000 ",,"214,000 ",,,,,,,,,,,,,,,
,,Q3,,"178,000 ",,"185,000 ",,"185,000 ",,"128,000 ",,"216,000 ",,,,,,,,,,,,,,,
,,Q4,,"181,000 ",,"180,000 ",,"179,000 ",,"124,000 ",,"211,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"189,000 ",,"174,000 ",,"173,000 ",,"122,000 ",,"207,000 ",,,,,,,,,,,,,,,
,,Q2,,"192,000 ",,"175,000 ",,"175,000 ",,"124,000 ",,"206,000 ",,,,,,,,,,,,,,,
,,Q3,,"197,000 ",,"179,000 ",,"180,000 ",,"125,000 ",,"211,000 ",,,,,,,,,,,,,,,
,,Q4,,"192,000 ",,"173,000 ",,"174,000 ",,"124,000 ",,"204,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"187,000 ",,"172,000 ",,"172,000 ",,"122,000 ",,"206,000 ",,,,,,,,,,,,,,,
,,Q2,,"188,000 ",,"171,000 ",,"172,000 ",,"121,000 ",,"205,000 ",,,,,,,,,,,,,,,
,,Q3,,"179,000 ",,"177,000 ",,"177,000 ",,"124,000 ",,"212,000 ",,,,,,,,,,,,,,,
,,Q4,,"181,000 ",,"172,000 ",,"173,000 ",,"125,000 ",,"207,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"184,000 ",,"169,000 ",,"170,000 ",,"123,000 ",,"206,000 ",,,,,,,,,,,,,,,
,,Q2,,"185,000 ",,"168,000 ",,"170,000 ",,"127,000 ",,"204,000 ",,,,,,,,,,,,,,,
,,Q3,,"186,000 ",,"179,000 ",,"180,000 ",,"128,000 ",,"216,000 ",,,,,,,,,,,,,,,
,,Q4,,"190,000 ",,"178,000 ",,"179,000 ",,"131,000 ",,"215,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"180,000 ",,"178,000 ",,"178,000 ",,"131,000 ",,"214,000 ",,,,,,,,,,,,,,,
,,Q2,,"195,000 ",,"179,000 ",,"181,000 ",,"135,000 ",,"216,000 ",,,,,,,,,,,,,,,
,,Q3,,"208,000 ",,"189,000 ",,"191,000 ",,"139,000 ",,"229,000 ",,,,,,,,,,,,,,,
,,Q4,,"201,000 ",,"185,000 ",,"187,000 ",,"138,000 ",,"224,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"210,000 ",,"183,000 ",,"186,000 ",,"137,000 ",,"226,000 ",,,,,,,,,,,,,,,
,,Q2,,"211,000 ",,"184,000 ",,"188,000 ",,"140,000 ",,"228,000 ",,,,,,,,,,,,,,,
,,Q3,,"215,000 ",,"199,000 ",,"201,000 ",,"144,000 ",,"245,000 ",,,,,,,,,,,,,,,
,,Q4,,"210,000 ",,"194,000 ",,"194,000 ",,"142,000 ",,"239,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"226,000 ",,"191,000 ",,"194,000 ",,"141,000 ",,"239,000 ",,,,,,,,,,,,,,,
,,Q2,,"227,000 ",,"186,000 ",,"191,000 ",,"146,000 ",,"238,000 ",,,,,,,,,,,,,,,
,,Q3,,"232,000 ",,"197,000 ",,"200,000 ",,"151,000 ",,"248,000 ",,,,,,,,,,,,,,,
,,Q4,,"239,000 ",,"197,000 ",,"201,000 ",,"150,000 ",,"251,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"235,000 ",,"184,000 ",,"190,000 ",,"143,000 ",,"239,000 ",,,,,,,,,,,,,,,
,,Q2,,"236,000 ",,"191,000 ",,"198,000 ",,"148,000 ",,"249,000 ",,,,,,,,,,,,,,,
,,Q3,,"244,000 ",,"197,000 ",,"202,000 ",,"152,000 ",,"252,000 ",,,,,,,,,,,,,,,
,,Q4,,"242,000 ",,"195,000 ",,"202,000 ",,"151,000 ",,"253,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"244,000 ",,"192,000 ",,"198,000 ",,"150,000 ",,"252,000 ",,,,,,,,,,,,,,,
,,Q2,,"240,000 ",,"193,000 ",,"201,000 ",,"154,000 ",,"251,000 ",,,,,,,,,,,,,,,
,,Q3,,"247,000 ",,"200,000 ",,"205,000 ",,"156,000 ",,"256,000 ",,,,,,,,,,,,,,,
,,Q4,,"239,000 ",,"198,000 ",,"204,000 ",,"156,000 ",,"255,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"233,000 ",,"194,000 ",,"200,000 ",,"153,000 ",,"251,000 ",,,,,,,,,,,,,,,
,,Q2,,"237,000 ",,"197,000 ",,"204,000 ",,"159,000 ",,"256,000 ",,,,,,,,,,,,,,,
,,Q3,,"238,000 ",,"201,000 ",,"206,000 ",,"158,000 ",,"259,000 ",,,,,,,,,,,,,,,
,,Q4,,"242,000 ",,"202,000 ",,"209,000 ",,"159,000 ",,"261,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"245,000 ",,"198,000 ",,"205,000 ",,"156,000 ",,"258,000 ",,,,,,,,,,,,,,,
,,Q2,,"233,000 ",,"194,000 ",,"199,000 ",,"156,000 ",,"251,000 ",,,,,,,,,,,,,,,
,,Q3,,"252,000 ",,"216,000 ",,"222,000 ",,"170,000 ",,"279,000 ",,,,,,,,,,,,,,,
,,Q4,,"265,000 ",,"237,000 ",,"241,000 ",,"178,000 ",,"299,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"271,000 ",,"249,000 ",,"252,000 ",,"180,000 ",,"308,000 ",,,,,,,,,,,,,,,
,,Q2,,"274,000 ",,"247,000 ",,"251,000 ",,"178,000 ",,"312,000 ",,,,,,,,,,,,,,,
,,Q3,,"261,000 ",,"216,000 ",,"221,000 ",,"172,000 ",,"273,000 ",,,,,,,,,,,,,,,
,,Q4,,"265,000 ",,"217,000 ",,"224,000 ",,"173,000 ",,"294,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"268,000 ",,"233,000 ",,"237,000 ",,"179,000 ",,"308,000 ",,,,,,,,,,,,,,,
,,Q2,,"279,000 ",,"240,000 ",,"246,000 ",,"189,000 ",,"315,000 ",,,,,,,,,,,,,,,
,,Q3,,"275,000 ",,"252,000 ",,"255,000 ",,"193,000 ",,"327,000 ",,,,,,,,,,,,,,,
,,Q4,,"281,000 ",,"249,000 ",,"254,000 ",,"193,000 ",,"329,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"273,000 ",,"240,000 ",,"245,000 ",,"188,000 ",,"315,000 ",,,,,,,,,,,,,,,
,,Q2,,"289,000 ",,"240,000 ",,"247,000 ",,"193,000 ",,"316,000 ",,,,,,,,,,,,,,,
,,Q3,,"276,000 ",,"249,000 ",,"252,000 ",,"193,000 ",,"323,000 ",,,,,,,,,,,,,,,
,,Q4,,"279,000 ",,"245,000 ",,"249,000 ",,"191,000 ",,"322,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"79,000 ",,"51,000 ",,"54,000 ",,"41,000 ",,"67,000 ",,,,,,,,,,,,,,,
,,Q3,,"74,000 ",,"53,000 ",,"55,000 ",,"43,000 ",,"67,000 ",,,,,,,,,,,,,,,
,,Q4,,"65,000 ",,"46,000 ",,"48,000 ",,"38,000 ",,"61,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"87,000 ",,"52,000 ",,"57,000 ",,"41,000 ",,"74,000 ",,,,,,,,,,,,,,,
,,Q2,,"66,000 ",,"50,000 ",,"52,000 ",,"42,000 ",,"63,000 ",,,,,,,,,,,,,,,
,,Q3,,"75,000 ",,"55,000 ",,"57,000 ",,"42,000 ",,"73,000 ",,,,,,,,,,,,,,,
,,Q4,,"74,000 ",,"50,000 ",,"53,000 ",,"40,000 ",,"68,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"79,000 ",,"52,000 ",,"55,000 ",,"41,000 ",,"71,000 ",,,,,,,,,,,,,,,
,,Q2,,"66,000 ",,"53,000 ",,"55,000 ",,"42,000 ",,"69,000 ",,,,,,,,,,,,,,,
,,Q3,,"65,000 ",,"52,000 ",,"53,000 ",,"41,000 ",,"67,000 ",,,,,,,,,,,,,,,
,,Q4,,"76,000 ",,"51,000 ",,"54,000 ",,"39,000 ",,"72,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"73,000 ",,"48,000 ",,"51,000 ",,"40,000 ",,"64,000 ",,,,,,,,,,,,,,,
,,Q2,,"81,000 ",,"50,000 ",,"54,000 ",,"40,000 ",,"73,000 ",,,,,,,,,,,,,,,
,,Q3,,"74,000 ",,"54,000 ",,"57,000 ",,"41,000 ",,"72,000 ",,,,,,,,,,,,,,,
,,Q4,,"81,000 ",,"51,000 ",,"56,000 ",,"39,000 ",,"73,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"67,000 ",,"49,000 ",,"51,000 ",,"39,000 ",,"66,000 ",,,,,,,,,,,,,,,
,,Q2,,"84,000 ",,"57,000 ",,"61,000 ",,"42,000 ",,"77,000 ",,,,,,,,,,,,,,,
,,Q3,,"80,000 ",,"55,000 ",,"58,000 ",,"41,000 ",,"78,000 ",,,,,,,,,,,,,,,
,,Q4,,"89,000 ",,"51,000 ",,"53,000 ",,"38,000 ",,"74,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"76,000 ",,"56,000 ",,"57,000 ",,"40,000 ",,"75,000 ",,,,,,,,,,,,,,,
,,Q2,,"84,000 ",,"57,000 ",,"60,000 ",,"43,000 ",,"76,000 ",,,,,,,,,,,,,,,
,,Q3,,"83,000 ",,"60,000 ",,"63,000 ",,"43,000 ",,"82,000 ",,,,,,,,,,,,,,,
,,Q4,,"87,000 ",,"56,000 ",,"59,000 ",,"45,000 ",,"73,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"74,000 ",,"58,000 ",,"60,000 ",,"43,000 ",,"77,000 ",,,,,,,,,,,,,,,
,,Q2,,"88,000 ",,"55,000 ",,"60,000 ",,"46,000 ",,"75,000 ",,,,,,,,,,,,,,,
,,Q3,,"81,000 ",,"62,000 ",,"65,000 ",,"52,000 ",,"79,000 ",,,,,,,,,,,,,,,
,,Q4,,"92,000 ",,"60,000 ",,"64,000 ",,"50,000 ",,"78,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"103,000 ",,"60,000 ",,"63,000 ",,"51,000 ",,"75,000 ",,,,,,,,,,,,,,,
,,Q2,,"90,000 ",,"65,000 ",,"68,000 ",,"54,000 ",,"81,000 ",,,,,,,,,,,,,,,
,,Q3,,"88,000 ",,"66,000 ",,"69,000 ",,"55,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q4,,"98,000 ",,"64,000 ",,"68,000 ",,"54,000 ",,"83,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"89,000 ",,"65,000 ",,"68,000 ",,"54,000 ",,"83,000 ",,,,,,,,,,,,,,,
,,Q2,,"97,000 ",,"67,000 ",,"71,000 ",,"56,000 ",,"83,000 ",,,,,,,,,,,,,,,
,,Q3,,"99,000 ",,"73,000 ",,"76,000 ",,"57,000 ",,"91,000 ",,,,,,,,,,,,,,,
,,Q4,,"101,000 ",,"68,000 ",,"73,000 ",,"54,000 ",,"89,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"95,000 ",,"71,000 ",,"74,000 ",,"56,000 ",,"90,000 ",,,,,,,,,,,,,,,
,,Q2,,"109,000 ",,"70,000 ",,"75,000 ",,"53,000 ",,"93,000 ",,,,,,,,,,,,,,,
,,Q3,,"99,000 ",,"77,000 ",,"79,000 ",,"57,000 ",,"99,000 ",,,,,,,,,,,,,,,
,,Q4,,"104,000 ",,"73,000 ",,"76,000 ",,"57,000 ",,"95,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"116,000 ",,"75,000 ",,"79,000 ",,"58,000 ",,"86,000 ",,,,,,,,,,,,,,,
,,Q2,,"133,000 ",,"82,000 ",,"87,000 ",,"68,000 ",,"95,000 ",,,,,,,,,,,,,,,
,,Q3,,"139,000 ",,"86,000 ",,"91,000 ",,"73,000 ",,"98,000 ",,,,,,,,,,,,,,,
,,Q4,,"143,000 ",,"89,000 ",,"94,000 ",,"75,000 ",,"102,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"145,000 ",,"95,000 ",,"98,000 ",,"66,000 ",,"109,000 ",,,,,,,,,,,,,,,
,,Q2,,"153,000 ",,"101,000 ",,"105,000 ",,"75,000 ",,"114,000 ",,,,,,,,,,,,,,,
,,Q3,,"160,000 ",,"117,000 ",,"119,000 ",,"76,000 ",,"129,000 ",,,,,,,,,,,,,,,
,,Q4,,"166,000 ",,"124,000 ",,"126,000 ",,"82,000 ",,"136,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"165,000 ",,"120,000 ",,"122,000 ",,"78,000 ",,"135,000 ",,,,,,,,,,,,,,,
,,Q2,,"180,000 ",,"135,000 ",,"138,000 ",,"93,000 ",,"149,000 ",,,,,,,,,,,,,,,
,,Q3,,"181,000 ",,"143,000 ",,"146,000 ",,"97,000 ",,"158,000 ",,,,,,,,,,,,,,,
,,Q4,,"187,000 ",,"142,000 ",,"144,000 ",,"97,000 ",,"159,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"173,000 ",,"141,000 ",,"143,000 ",,"97,000 ",,"154,000 ",,,,,,,,,,,,,,,
,,Q2,,"187,000 ",,"144,000 ",,"149,000 ",,"105,000 ",,"160,000 ",,,,,,,,,,,,,,,
,,Q3,,"185,000 ",,"151,000 ",,"153,000 ",,"107,000 ",,"171,000 ",,,,,,,,,,,,,,,
,,Q4,,"187,000 ",,"146,000 ",,"148,000 ",,"102,000 ",,"180,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"199,000 ",,"145,000 ",,"147,000 ",,"102,000 ",,"178,000 ",,,,,,,,,,,,,,,
,,Q2,,"195,000 ",,"154,000 ",,"156,000 ",,"108,000 ",,"185,000 ",,,,,,,,,,,,,,,
,,Q3,,"200,000 ",,"162,000 ",,"164,000 ",,"115,000 ",,"195,000 ",,,,,,,,,,,,,,,
,,Q4,,"190,000 ",,"165,000 ",,"167,000 ",,"116,000 ",,"197,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"199,000 ",,"161,000 ",,"163,000 ",,"114,000 ",,"194,000 ",,,,,,,,,,,,,,,
,,Q2,,"196,000 ",,"165,000 ",,"167,000 ",,"121,000 ",,"195,000 ",,,,,,,,,,,,,,,
,,Q3,,"195,000 ",,"173,000 ",,"174,000 ",,"122,000 ",,"205,000 ",,,,,,,,,,,,,,,
,,Q4,,"200,000 ",,"174,000 ",,"176,000 ",,"122,000 ",,"207,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"202,000 ",,"168,000 ",,"170,000 ",,"119,000 ",,"202,000 ",,,,,,,,,,,,,,,
,,Q2,,"202,000 ",,"172,000 ",,"174,000 ",,"125,000 ",,"203,000 ",,,,,,,,,,,,,,,
,,Q3,,"204,000 ",,"173,000 ",,"175,000 ",,"125,000 ",,"203,000 ",,,,,,,,,,,,,,,
,,Q4,,"195,000 ",,"171,000 ",,"173,000 ",,"121,000 ",,"200,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"161,000 ",,"167,000 ",,"166,000 ",,"119,000 ",,"198,000 ",,,,,,,,,,,,,,,
,,Q2,,"177,000 ",,"173,000 ",,"173,000 ",,"124,000 ",,"201,000 ",,,,,,,,,,,,,,,
,,Q3,,"192,000 ",,"179,000 ",,"179,000 ",,"127,000 ",,"207,000 ",,,,,,,,,,,,,,,
,,Q4,,"195,000 ",,"185,000 ",,"185,000 ",,"132,000 ",,"211,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"191,000 ",,"183,000 ",,"184,000 ",,"129,000 ",,"210,000 ",,,,,,,,,,,,,,,
,,Q2,,"190,000 ",,"181,000 ",,"181,000 ",,"130,000 ",,"205,000 ",,,,,,,,,,,,,,,
,,Q3,,"180,000 ",,"185,000 ",,"185,000 ",,"132,000 ",,"212,000 ",,,,,,,,,,,,,,,
,,Q4,,"187,000 ",,"180,000 ",,"179,000 ",,"123,000 ",,"205,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"174,000 ",,"169,000 ",,"168,000 ",,"119,000 ",,"196,000 ",,,,,,,,,,,,,,,
,,Q2,,"182,000 ",,"170,000 ",,"171,000 ",,"122,000 ",,"197,000 ",,,,,,,,,,,,,,,
,,Q3,,"182,000 ",,"176,000 ",,"176,000 ",,"125,000 ",,"202,000 ",,,,,,,,,,,,,,,
,,Q4,,"193,000 ",,"168,000 ",,"170,000 ",,"120,000 ",,"198,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"183,000 ",,"168,000 ",,"169,000 ",,"122,000 ",,"198,000 ",,,,,,,,,,,,,,,
,,Q2,,"183,000 ",,"168,000 ",,"170,000 ",,"119,000 ",,"200,000 ",,,,,,,,,,,,,,,
,,Q3,,"177,000 ",,"172,000 ",,"173,000 ",,"122,000 ",,"204,000 ",,,,,,,,,,,,,,,
,,Q4,,"184,000 ",,"172,000 ",,"174,000 ",,"124,000 ",,"205,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"174,000 ",,"164,000 ",,"165,000 ",,"121,000 ",,"196,000 ",,,,,,,,,,,,,,,
,,Q2,,"181,000 ",,"167,000 ",,"168,000 ",,"126,000 ",,"199,000 ",,,,,,,,,,,,,,,
,,Q3,,"185,000 ",,"176,000 ",,"177,000 ",,"125,000 ",,"211,000 ",,,,,,,,,,,,,,,
,,Q4,,"184,000 ",,"178,000 ",,"177,000 ",,"130,000 ",,"208,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"182,000 ",,"174,000 ",,"174,000 ",,"127,000 ",,"207,000 ",,,,,,,,,,,,,,,
,,Q2,,"195,000 ",,"177,000 ",,"180,000 ",,"133,000 ",,"213,000 ",,,,,,,,,,,,,,,
,,Q3,,"203,000 ",,"184,000 ",,"186,000 ",,"136,000 ",,"223,000 ",,,,,,,,,,,,,,,
,,Q4,,"208,000 ",,"185,000 ",,"189,000 ",,"137,000 ",,"227,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"198,000 ",,"177,000 ",,"180,000 ",,"132,000 ",,"221,000 ",,,,,,,,,,,,,,,
